id;value_counter;denomination_sale;counter_code;event_device_id
4e9912b5-8095-4e29-8e4b-5fbb400c2135;5411;96365;Si;4c2b833e-7c98-4ce2-9872-aa3ebaaa14ea
97a2598f-d762-4020-ad97-292d905e8600;55900;5731;in;cb48cff1-b8d9-44fc-9a2f-f7c2023d5c94
2030a7c7-ad06-452e-b220-8841de13839f;66805;31264;Az;574c3c14-257b-42a3-926d-3808963263f2
4b8704eb-9ce6-4e6d-808b-b0405bed90ab;53460;92984;Jo;6fcbea37-5496-4350-b588-9a30980e2d36
f74d471f-640a-4003-ab3d-292fb1e517af;55130;51075;Ru;bf8319ea-d7d4-4327-b8a1-14f9e4ffb2dc
2d4d9381-cc23-4da1-b4ab-ab672c92e43c;44784;60348;Av;940b984d-a5d4-45f6-b900-1ae0ce78aa9d
272f6a69-3d1a-4897-8508-0b81b8c4af63;68165;32588;ba;aeba9419-a20c-456c-8848-8d5bda2e2acd
1fbd0999-4034-4dbc-b05b-e1aec3d00893;96028;23273;Tá;5e9d4cb9-9f1e-423b-973c-5fa0687ae89b
306983e2-3a09-498f-8bee-132fa076ebd2;67144;67875;fi;3edd7100-b255-4b58-9870-6087af793949
af11507c-84da-4d02-84b4-a0a3d8b43e72;15357;69175;Gl;5beb9538-f095-4557-a32d-fc56872e1ba8
